SAMPLE,Ag,As,Au,Ba,Be,Bi,Br,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Hf,Hg,Ho,I,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pb,Pd,Pr,Pt,Rb,Re,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Final pH
DESCRIPTION,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,Unity
S000 001,0.4,16.2,0.04,15700,21.5,1.9,0.48,294,7.7,43.2,1745,3,2.5,475,215,221,8.8,99,6.3,55.9,0.2,0.73,0.5,67.2,0.12,0.6,12.3,16.4,32.1,224,31.8,2.2,0.3,67.2,522,914,0,10.1,0,480,0,0.7,90,6,29,0,6710,0,18.5,0,34.9,50,0.64,36.6,45,32.6,0.1,1345,216,2410,19.1,6
S000 002,1,11.4,0.16,5260,67.6,1.1,0.97,50,5.2,1810,377,20,5.1,494,586,245,122,120.5,21.4,530,4.4,4.4,0.6,109,0.19,0.8,511,7.4,20.1,104,7.7,1.7,0.4,1585,456,1405,0,323,0,257,0.01,1.1,324,5,467,0.4,906,0,92.7,0,323,191,0.13,32.4,96.1,46.2,0.1,2840,167,510,117,6.4
S000 003,12.2,3.8,0.4,4690,9.4,0.4,0.34,76.1,5.2,86.6,131.5,3,18.5,5050,390,260,26.5,9.7,5,134.5,0.6,0.56,1.6,97.8,0.39,0.1,32.7,2.1,30,79.3,23.6,1.9,0.2,179.5,280,62.4,0.96,28.5,0,308,0.01,0.5,410,14,75.2,0,1480,0,39.8,0,44.8,91,5.5,37.3,38.9,13.2,0.2,2040,208,110,19.9,6.4
S000 004,0.4,5,0.08,8370,16.6,1.4,0.2,281,9.8,20.4,603,7,4.9,3000,121,113.5,5.3,73.4,9.7,26.8,0.3,0.92,1.5,36,0.14,1,7.9,8.2,12.8,123,41.1,2.5,0.5,28,1000,157,0,4.5,0,233,0,1.1,187,10,13.4,0.3,4540,0,9.7,0,21.5,99,1.92,17.1,21.6,33.5,0.2,522,96.6,950,33,6
S000 005,0.4,4,0,3910,7.5,0.7,0.89,422,10.8,112,165.5,6,2.4,922,130.5,67.3,19.5,42.5,5.8,96.6,0.1,0.41,0.5,28.6,0.13,0.2,42.6,2.1,4.8,104,32.1,2.9,0.2,152.5,401,291,0,25.5,0,169,0.01,0.5,49,10,60.7,0,4630,0,18.1,0,13.3,61,0.76,8.3,27.1,16.4,0.1,622,40.1,950,13.9,6.4
S000 006,0,3.3,0,10200,4.7,1.8,0.2,194,0.3,3.4,527,3,3.3,15,0.4,0.6,0.1,149,14.9,0.3,0.5,0.53,0.3,0.1,0.03,1,2.2,11.1,0.7,184.5,12.25,0,0.1,2.1,235,3.5,0,0.4,0,245,0,0.6,46,8,0.2,0,4110,0,0,0,4.28,35,0.41,0.2,4.02,25.6,0.1,2.9,2.6,20,11.9,6
S000 007,0.1,8.4,0.03,23200,3.9,1.8,0.2,51.5,0.6,4.2,524,4,19.8,30,0.7,1,0.1,115,11.4,0.7,0.3,1.58,0.7,0.2,0.04,1.8,2.6,6.1,0.8,92.1,19.9,0,0.1,2.2,118,6,0,0.5,0,1160,0,0.8,86,8,0.5,0,1550,0,0.1,0,9.71,31,1.27,0.3,4.12,22.2,0,2.7,3.7,20,30.9,6
S000 008,1.1,2.3,0.33,16200,7,0.8,0.36,3.4,3.8,33.1,368,6,24.9,1470,263,209,11.8,32.5,4.4,59.6,0.3,0.73,0.4,72.4,0.07,1.1,8.1,1.5,24.9,105,5.17,0.8,0,54,269,205,0,7.6,0,2530,0.01,0,506,11,27.5,0,193,0,22.7,0,14.4,26,4.4,31.2,19.75,8.9,0,1275,179.5,260,22.3,6
S000 009,0.2,48.5,0.11,16200,13,2.1,0.48,19.7,0.7,50.5,1870,49,20.1,102,10.4,12.2,1.6,173,27.3,6.1,2.2,4.68,0.3,3.1,0.12,1.3,22.4,54.3,4.9,145.5,12.35,5.5,7,20.9,218,46,0,10.6,0,1895,0,4.3,232,10,5.2,3.8,779,0.49,1.2,0,35.9,2920,1.59,2.8,21.4,324,2.4,60.8,23.7,90,143,6
S000 010,1.1,13.5,0.13,5260,21.3,2.3,0.67,7.2,2.2,19.7,671,17,6.1,173,12.6,13.9,0.8,133,9.1,4.3,0.9,3.15,0.6,3.8,0.23,0.9,9.1,11.2,2.6,93.3,1.11,1.9,0.8,11.6,247,572,0,2.4,0,543,0,0.6,73,15,3.5,0.6,322,0.06,1.2,0,74.1,232,0.34,2.5,34.4,39.3,0.3,65.3,17,310,80.8,6.4
S000 011,0.5,5.5,0.04,7330,35.6,2.1,0.44,78.5,7.7,255,774,2,4.4,611,466,265,35.9,70.2,10.3,208,1.5,1.24,0.6,105,0.14,0.8,57.1,6.1,25.1,130,24.3,1.6,0.1,337,706,1840,0,56.6,0,643,0.01,0,186,5,129,0.3,1990,0,55.4,0,182,39,0.41,37.2,62.6,14.7,0,2620,199,380,39,6.4
S000 012,0.4,11.5,0.17,6230,36.1,2.7,0.87,66.4,4.6,238,602,13,0.7,318,218,124,18.8,147,7.4,96.4,0.9,5.81,1.1,49.2,0.2,0.8,58.8,10.4,11.4,168,16.15,1,0.2,172,715,2000,0,33,0,157.5,0,0.6,172,14,63.8,0,1440,0,25.7,0,306,60,0.21,17.9,61.2,14.5,0,1105,94.8,800,143.5,6.7
S000 013,3,0,0.39,3180,9.7,0,0.37,112.5,4.9,121,192.5,11,0.7,4240,488,314,49.8,17.3,3.8,217,1.2,0,0.4,120.5,0.42,0.2,26.7,6.3,33.8,239,26.9,0,0,217,6160,42.6,0,29.3,0,249,0.02,0,495,2,104.5,0,2500,0,54.4,0,30.9,0,0.58,44.7,25.4,2.8,0,2780,244,780,3.4,6.7
S000 014,7.8,2.7,0.27,5100,10.5,0,0.2,86.3,11.2,33.5,134.5,5,5,5560,379,336,21.2,14.3,2.8,114,0.2,0.23,1.5,106.5,0.19,0.2,11.1,4.4,36.6,151.5,17.2,0.5,0.1,100.5,4620,56.4,0.29,13.7,0,623,0.03,0,318,3,51.3,0.2,1410,0,36.9,0,34.8,50,0.74,44.9,27.7,5.4,0,2070,264,770,8.7,6
S000 015,0.4,16,0.3,5870,13.9,1.1,0.4,237,21.5,36.4,322,4,5.9,3060,242,248,11.4,45.7,6.4,62.8,0.4,1.42,1.1,73.6,0.16,0.4,10.7,6.1,26.6,228,33.5,2.2,0.2,65.3,1830,148,0,9.5,0,617,0.02,1.2,179,13,30.5,0,4870,0,21.6,0,46,96,1.69,32.9,43,18.3,0.1,1305,189.5,4010,44.7,6
S000 016,2.1,12.1,0.33,5930,8.5,1,0.37,18.3,9.8,50,263,3,13,3690,284,227,14.3,23.8,4,79.5,0.4,2.59,1.9,74.3,0.22,0.6,12.4,1.5,22.4,66,17.2,1.6,0.1,77.1,256,437,0.06,11.2,0,872,0.01,1,351,15,38.2,0,553,0,28,0,28,58,3.46,29.3,40.9,7.9,0.1,1345,165.5,400,61.4,6
S000 017,7.3,2,1.21,20600,25.4,0.6,0.76,29.1,6.1,180,936,3,7.8,4130,1270,880,76.7,23.6,7.4,399,1.4,1.36,4,316,0.49,0.4,72.6,3,81.8,113.5,30.4,0.6,0.1,486,344,295,0.58,74.2,0,718,0.03,0.6,637,0,213,0,1480,0,125,0,102.5,33,4.44,110,107,7.2,0.1,5340,612,470,44.4,6
S000 018,1.4,8.8,0.11,15500,12.5,1.5,0.4,208,11.2,26.4,505,5,6.2,2910,108.5,98.9,5.1,54,11.6,27.4,0.4,1.17,2.1,30.9,0.15,0.9,7.9,5.7,8.6,122.5,52.2,1.8,0.3,31.9,446,271,0,5.2,0,399,0,0,152,6,15.4,0.2,5560,0,9.6,0,33.7,138,2.67,12.7,16.8,26.8,0.2,485,68,950,37.6,6
S000 019,1.7,21.4,0.12,2860,15.6,1.6,0.52,37.2,5.9,31.4,1660,34,3.2,919,49.5,32.6,3.1,108.5,21.3,15.3,0.9,2.2,0.9,11.6,0.18,1.5,11.5,14.1,2.5,59.1,26.8,6.7,1.3,24.4,274,846,0.09,4.6,0,119.5,0,1.8,115,16,9.2,0.8,912,0.07,5.3,0,33.7,595,1.5,3.8,25.3,80.2,0.8,186.5,20.5,610,67.7,6
